TICKER,DATA,VOLUME,FECHAMENTO_AJUSTADO,ROIC,VALOR_MERCADO,EBIT_EV
AGXY3,11/30/2021,1332541,8.77,0.08403,1452012406,0.06599
AGXY3,12/31/2021,3533372,10.43,0.08403,1822702633,0.0565
AGXY3,1/31/2022,3320703,10.88,0.08403,1861992380,0.05565
AGXY3,2/28/2022,2337260,10.75,0.08403,1879074879,0.05529
AGXY3,3/31/2022,1943833,11.43,0.10664,1913239877,0.12752
AGXY3,4/30/2022,1504789,9.58,0.10664,1674084892,0.14073
AGXY3,5/31/2022,1111788,10.24,0.07192,1768038636,0.09576
AGXY3,6/30/2022,1440949,7.56,0.07192,1238481170,0.11815
AGXY3,7/31/2022,758177,7.17,0.07192,1231648171,0.11851
AGXY3,8/31/2022,772226,8.02,0.13391,1339267914,0.15063
AGXY3,9/30/2022,1124521,7.56,0.13391,1204316172,0.15871
AGXY3,10/31/2022,450625,7.48,0.13391,1375141161,0.14862
AGXY3,11/30/2022,400709,8.85,0.14673,1417847409,0.182
AGXY3,12/31/2022,878741,9.8,0.14673,1684334392,0.1649
AGXY3,1/31/2023,225180,9.43,0.14673,1627962145,0.16825
AGXY3,2/28/2023,325057,8.79,0.14673,1469094905,0.17844
AGXY3,3/31/2023,169068,7.96,0.16859,1388807161,0.2326
AGXY3,4/30/2023,98884,6.91,0.16859,1187233674,0.25527
AGXY3,5/31/2023,596487,6,0.17531,1043740683,0.25676
AGXY3,6/30/2023,695033,6.1,0.17531,1023241684,0.25911
AGXY3,7/31/2023,267494,5.45,0.17531,924163190,0.27112
AGXY3,8/31/2023,247748,5,0.13292,854124945,0.24281
AGXY3,9/30/2023,315410,4.3,0.13292,734547453,0.26027
AGXY3,10/18/2023,497400,3.8,0.13292,705507205,0.26489
ALLD3,4/30/2021,2935785,16.62,0.15615,1422541350,0.18225
ALLD3,5/31/2021,5296001,16.4,0.17745,1673972500,0.17567
ALLD3,6/30/2021,24522095,33.15,0.17745,3127161600,0.09777
ALLD3,7/31/2021,10949491,23.88,0.17745,2437665900,0.12382
ALLD3,8/31/2021,14596220,25.66,0.21453,2720181360,0.17162
ALLD3,9/30/2021,8492309,17.12,0.21453,1830891300,0.24561
ALLD3,10/31/2021,8154481,14.13,0.21453,1441769540,0.30271
ALLD3,11/30/2021,4707484,14.58,0.21,1600312680,0.31208
ALLD3,12/31/2021,13251753,15.53,0.21,1584468000,0.31532
ALLD3,1/31/2022,1237121,14.66,0.21,1426021200,0.35182
ALLD3,2/28/2022,859162,12.05,0.21,1229360760,0.41084
ALLD3,3/31/2022,6992796,13.07,0.20124,1431874560,0.37258
ALLD3,4/30/2022,952543,12.81,0.20124,1306958420,0.42062
ALLD3,5/31/2022,897630,12.98,0.19896,1211613000,0.26544
ALLD3,6/30/2022,1071938,9.43,0.19896,936871050,0.32489
ALLD3,7/31/2022,1400364,10.02,0.19896,980684920,0.31369
ALLD3,8/31/2022,262689,9.41,0.13095,932210000,0.1929
ALLD3,9/30/2022,561476,8.26,0.13095,792378500,0.21689
ALLD3,10/31/2022,260791,7.65,0.13095,765344410,0.22223
ALLD3,11/30/2022,184851,6.09,0.10722,591953350,0.174
ALLD3,12/31/2022,458347,5.97,0.10722,556529370,0.17966
ALLD3,1/31/2023,205088,5.6,0.10722,517376550,0.18637
ALLD3,2/28/2023,120404,4.86,0.10722,470766050,0.19503
ALLD3,3/31/2023,116218,4.8,0.10857,454918480,0.22005
ALLD3,4/30/2023,85107,4.66,0.10857,434409860,0.22494
ALLD3,5/31/2023,326418,6.64,0.10199,605004290,0.20648
ALLD3,6/30/2023,624554,7.13,0.10199,625512910,0.20207
ALLD3,7/31/2023,262565,6.85,0.10199,637631640,0.19954
ALLD3,8/31/2023,369026,6.56,0.10782,621784070,0.2273
ALLD3,9/30/2023,118343,6.09,0.10782,567715890,0.24267
ALLD3,10/18/2023,132185,5.59,0.10782,537885170,0.25207
ALPA3,11/30/2011,22211,5.04,0.16616,3710609320,0.09931
ALPA3,12/31/2011,20735,5.81,0.16616,4355625800,0.08325
ALPA3,1/31/2012,31833,6.53,0.16616,5073251880,0.07056
ALPA3,2/29/2012,30503,7.34,0.16616,5396026160,0.06603
ALPA3,3/31/2012,1610,7.66,0.16225,5637342680,0.05994
ALPA3,4/30/2012,34861,8.28,0.16225,6413269456,0.05216
ALPA3,5/31/2012,63899,6.58,0.15263,4886603040,0.06884
